Matricula,Probabilidad
HEUNBDOG,0.11
GEUX80GD,0.16
GEUN80DO,0.10
IBIRH,0.54
HEUN800D,0.69
HEUN80GG,0.17
HEUN80OD,0.31
HEUN8DDO,0.18
HEUN8DGO,0.34
REUN80OO,0.07
HEUNBOOO,0.19
HEUN8GDO,0.33
BIRVE,0.18
HEUNQDDD,0.12
BIRV,0.64
GEUNBDDO,0.16
BRI,0.25
HEUN8OOD,0.18
BIRV,0.59
GEUREDDD,0.10
HEURBDDD,0.15
BRV,0.39
HEUNBDDD,0.20
HEUNBGDD,0.14
HEUNBDDO,0.26
BR,0.99
HEUNBDDD,0.22
BRI,0.23
HEUNBDDD,0.12
HEUN8GDD,0.11
HEUNBDQD,0.06
MEUNQODD,0.40
HEUNQ0OD,0.21
MEUN8000,0.34
EUN8600,0.29
HEUN8000,0.86
MEUN8000,0.64
HEUN80DD,0.14
HEUNBGD0,0.16
HEUN80DO,0.12
HEUN80D0,0.24
HEUNB0DD,0.18
HEUN8000,0.38
HEUN8OD,0.40
FEUN8GDD,0.20
HEUN8000,0.18
EUN8G0,0.40
AA,0.10
FEUN80DO,0.16
MEUNEDDO,0.26
HEUNEGDO,0.12
HEUN800D,0.40
HEUN80DO,0.18
RACE,0.63
HEUN800O,0.22
RACE,0.76
