Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
652,car,0.88,16,1500,335,1755,472,DEZ,0.09,158,71,207,88,DEZ
653,car,0.89,16,1494,336,1740,468,HED,0.29,152,69,200,83,HED
654,car,0.87,16,1488,334,1727,465,123,0.31,145,69,194,83,123
655,car,0.87,16,1481,334,1713,463,4CFT,0.02,141,68,190,81,4CFT
656,car,0.88,16,1476,334,1701,460,IE,0.06,136,67,184,80,IE
657,car,0.88,16,1473,333,1691,458,4ZOZ,0.07,127,65,175,80,4ZOZ
658,car,0.88,16,1467,332,1680,456,4IT,0.08,124,65,170,78,4IT
659,car,0.88,16,1463,331,1669,452,INZ,0.26,119,65,166,78,INZ
660,car,0.87,16,1456,331,1659,450,IER,0.04,118,64,163,76,IER
661,car,0.89,16,1450,328,1648,446,D3A3,0.14,112,66,160,78,D3A3
662,car,0.84,16,1449,330,1640,444,IZ,0.29,104,63,152,74,IZ
663,car,0.89,16,1443,330,1631,440,REE,0.27,110,61,150,73,REE
664,car,0.92,16,1440,330,1623,440,IA6AA,0.00,104,60,145,70,IA6AA
665,car,0.89,16,1434,330,1614,437,W1C,0.07,104,58,143,69,W1C
666,car,0.91,16,1429,328,1604,435,150A,0.08,103,59,141,69,150A
667,car,0.90,16,1425,327,1597,434,ITR,0.20,96,58,137,68,ITR
668,car,0.87,16,1419,326,1590,432,J,0.17,99,57,136,67,J
669,car,0.89,16,1419,326,1583,429,PU4,0.06,89,56,130,66,PU4
670,car,0.88,16,1419,329,1577,427,TFAE,0.03,84,52,123,62,TFAE
671,car,0.85,16,1411,327,1570,426,1048,0.02,88,53,125,62,1048
672,car,0.82,16,1407,327,1565,424,90,0.16,87,52,123,61,90
673,car,0.81,16,1405,328,1560,422,DX,0.06,83,50,119,59,DX
674,car,0.79,16,1400,328,1552,422,WO,0.08,81,49,117,59,WO
679,car,0.83,16,1395,326,1524,413,7Y44,0.23,59,48,97,56,7Y44
680,car,0.81,16,1390,326,1518,411,AY,0.01,59,47,98,55,AY
682,car,0.87,16,1378,323,1510,409,LC,0.12,65,47,101,57,LC
711,car,0.81,13,1089,305,1182,381,9UD,0.01,29,47,56,55,9UD
718,car,0.80,13,1075,308,1175,385,JSOIC,0.03,32,47,61,54,JSOIC
720,car,0.75,13,1072,307,1172,386,ZCII,0.08,32,49,61,56,ZCII
723,car,0.74,13,1066,307,1170,388,4I,0.14,31,50,63,58,4I
724,car,0.75,13,1064,307,1168,388,LDOC,0.12,32,51,64,58,LDOC
725,car,0.72,13,1062,307,1167,389,2D4,0.22,33,51,63,59,2D4
726,car,0.73,13,1061,307,1166,390,UONTG,0.06,30,52,64,59,UONTG
727,car,0.71,13,1060,307,1165,390,OIT,0.22,30,52,63,60,OIT
