iter	Passed	Remaining
411	4583	17666
412	4592	17648
413	4600	17624
414	4609	17603
415	4617	17582
416	4625	17559
417	4638	17553
418	4648	17539
419	4655	17514
420	4663	17491
421	4674	17478
422	4686	17472
423	4698	17465
424	4705	17439
425	4714	17419
426	4720	17390
427	4734	17388
428	4746	17380
429	4784	17470
430	4797	17466
431	4808	17451
432	4817	17434
433	4827	17417
434	4840	17415
435	4848	17391
436	4855	17366
437	4865	17349
438	4873	17329
439	4882	17311
440	4924	17407
441	4939	17410
442	4947	17389
443	4959	17379
444	5011	17513
445	5018	17486
446	5027	17465
447	5039	17457
448	5048	17439
449	5059	17428
450	5069	17411
451	5082	17407
452	5094	17396
453	5102	17375
454	5109	17350
455	5133	17383
456	5143	17366
457	5156	17360
458	5170	17357
459	5194	17389
460	5203	17370
461	5218	17371
462	5231	17367
463	5240	17349
464	5254	17345
465	5263	17328
466	5277	17322
467	5286	17304
468	5295	17286
469	5307	17278
470	5318	17266
471	5327	17245
472	5334	17222
473	5347	17214
474	5357	17200
475	5367	17184
476	5378	17172
477	5387	17155
478	5396	17137
479	5402	17108
480	5411	17087
481	5420	17070
482	5426	17043
483	5433	17019
484	5440	16995
485	5448	16974
486	5466	16984
487	5479	16978
488	5488	16958
489	5505	16966
490	5515	16951
491	5540	16980
492	5553	16976
493	5564	16964
494	5574	16948
495	5582	16927
496	5594	16918
497	5605	16906
498	5618	16899
499	5625	16876
500	5641	16878
501	5648	16854
502	5655	16832
503	5667	16821
504	5679	16813
505	5688	16796
506	5695	16773
507	5711	16776
508	5726	16774
509	5736	16759
510	5746	16745
511	5758	16736
512	5769	16722
513	5779	16709
514	5787	16687
515	5798	16677
516	5807	16659
517	5816	16639
518	5828	16631
519	5836	16610
520	5852	16614
521	5860	16594
522	5870	16578
523	5880	16564
524	5887	16540
525	5901	16536
526	5915	16533
527	5924	16516
528	5932	16496
529	5942	16481
530	5950	16462
531	5969	16471
532	5977	16453
533	5984	16428
534	5997	16423
535	6007	16409
536	6016	16392
537	6024	16370
538	6032	16351
539	6041	16335
540	6052	16323
541	6060	16303
542	6069	16285
543	6080	16273
544	6089	16256
545	6110	16272
546	6119	16254
547	6144	16280
548	6160	16281
549	6168	16261
550	6184	16264
551	6192	16244
552	6200	16225
553	6211	16212
554	6220	16196
555	6235	16194
556	6247	16184
557	6255	16165
558	6263	16147
559	6274	16135
560	6286	16124
561	6292	16100
562	6305	16094
563	6314	16077
564	6324	16063
565	6334	16049
566	6346	16039
567	6357	16027
568	6371	16023
569	6381	16008
570	6393	16001
571	6404	15989
572	6429	16013
573	6438	15995
574	6448	15982
575	6464	15980
576	6472	15963
577	6480	15943
578	6488	15924
579	6497	15908
580	6505	15889
581	6514	15873
582	6531	15875
583	6542	15862
584	6551	15847
585	6574	15865
586	6593	15872
587	6602	15855
588	6616	15851
589	6628	15841
590	6640	15830
591	6651	15818
592	6660	15802
593	6671	15792
594	6682	15780
595	6691	15764
596	6698	15742
597	6706	15723
598	6715	15707
599	6723	15689
600	6735	15678
601	6743	15659
602	6750	15638
603	6757	15619
604	6768	15606
605	6784	15607
606	6796	15596
607	6804	15577
608	6821	15579
609	6842	15591
610	6858	15592
611	6878	15600
612	6902	15617
613	6938	15663
614	6969	15695
615	6993	15712
616	7007	15706
617	7032	15725
618	7043	15714
619	7059	15712
620	7071	15702
621	7084	15695
622	7096	15685
623	7103	15663
624	7109	15640
625	7118	15625
626	7125	15604
627	7134	15587
628	7141	15566
629	7149	15547
630	7158	15531
631	7167	15514
632	7176	15497
633	7188	15487
634	7196	15469
635	7205	15453
636	7217	15442
637	7228	15432
638	7252	15447
639	7270	15449
640	7281	15438
641	7292	15425
642	7301	15409
643	7312	15397
644	7326	15390
645	7337	15378
646	7343	15357
647	7360	15358
648	7376	15356
649	7386	15342
650	7398	15331
651	7407	15315
652	7415	15296
653	7425	15282
654	7435	15268
655	7442	15247
656	7450	15230
657	7460	15216
658	7470	15201
659	7482	15192
660	7489	15171
661	7500	15159
662	7511	15148
663	7524	15138
664	7533	15123
665	7541	15105
666	7557	15104
667	7568	15091
668	7578	15076
669	7601	15089
670	7615	15084
671	7629	15076
672	7641	15067
673	7651	15053
674	7667	15051
675	7679	15040
676	7689	15027
677	7713	15040
678	7722	15023
679	7737	15019
680	7744	15000
681	7751	14979
682	7760	14964
683	7770	14950
684	7781	14937
685	7794	14930
686	7813	14933
687	7824	14922
688	7875	14984
689	7882	14964
690	7888	14944
691	7900	14934
692	7917	14932
693	7925	14913
694	7933	14896
695	7941	14878
696	7951	14865
697	7964	14856
698	7975	14843
699	7984	14828
700	8020	14862
701	8031	14850
702	8041	14836
703	8053	14825
704	8062	14809
705	8073	14797
706	8083	14784
707	8120	14818
708	8128	14800
709	8137	14785
710	8156	14787
711	8165	14771
712	8174	14755
713	8197	14764
714	8206	14748
715	8217	14736
716	8227	14722
717	8239	14712
718	8247	14694
719	8256	14678
720	8263	14658
721	8271	14641
722	8278	14621
723	8285	14602
724	8293	14584
725	8301	14568
726	8310	14551
727	8318	14534
728	8334	14531
729	8352	14531
730	8362	14517
731	8378	14514
732	8392	14506
733	8405	14497
734	8415	14483
735	8427	14473
736	8436	14456
737	8445	14441
738	8454	14426
739	8463	14410
740	8474	14397
741	8482	14381
742	8498	14377
743	8509	14365
744	8518	14350
745	8533	14343
746	8555	14350
747	8569	14343
748	8580	14330
749	8594	14324
750	8606	14313
751	8618	14303
752	8627	14287
753	8634	14269
754	8643	14253
755	8649	14232
756	8661	14221
757	8669	14205
758	8680	14192
759	8689	14178
760	8696	14159
761	8706	14145
762	8716	14131
763	8726	14118
764	8735	14101
765	8744	14086
766	8780	14115
767	8788	14098
768	8807	14099
769	8821	14092
770	8860	14123
771	8869	14108
772	8896	14121
773	8907	14108
774	8917	14094
775	8925	14077
776	8934	14063
777	8943	14047
778	8953	14033
779	8963	14019
780	8969	13999
781	8992	14005
782	8999	13987
783	9013	13980
784	9020	13962
785	9029	13945
786	9042	13936
787	9051	13922
788	9074	13928
789	9083	13912
790	9098	13906
791	9119	13909
792	9133	13901
793	9145	13890
794	9168	13896
795	9179	13885
796	9189	13870
797	9199	13856
798	9213	13848
799	9222	13833
800	9234	13823
801	9256	13827
802	9271	13820
803	9280	13805
804	9290	13790
805	9298	13774
806	9314	13769
807	9327	13759
808	9340	13751
809	9351	13738
810	9361	13724
811	9373	13713
812	9390	13710
813	9400	13696
814	9407	13678
815	9422	13672
816	9430	13655
817	9443	13646
818	9456	13636
819	9464	13620
820	9475	13607
821	9481	13588
822	9489	13570
823	9499	13557
824	9510	13544
825	9521	13533
826	9531	13519
827	9543	13509
828	9556	13498
829	9568	13487
830	9580	13477
831	9592	13466
832	9604	13454
833	9624	13456
834	9639	13448
835	9647	13433
836	9661	13423
837	9674	13415
838	9681	13396
839	9695	13388
840	9729	13409
841	9749	13409
842	9760	13395
843	9771	13383
844	9782	13371
845	9794	13360
846	9811	13356
847	9860	13395
848	9868	13379
849	9905	13401
850	9912	13383
851	9935	13386
852	9952	13382
853	9977	13389
854	9988	13375
855	9996	13360
856	10007	13347
857	10018	13334
858	10027	13318
859	10035	13303
860	10052	13298
861	10063	13285
862	10086	13288
863	10096	13275
864	10106	13260
865	10120	13252
866	10129	13236
867	10139	13222
868	10149	13209
869	10158	13194
870	10171	13184
871	10181	13170
872	10194	13160
873	10204	13146
874	10213	13131
875	10222	13116
876	10232	13103
877	10241	13088
878	10255	13078
879	10262	13061
880	10275	13051
881	10287	13040
882	10310	13042
883	10327	13038
884	10336	13023
885	10373	13043
886	10381	13026
887	10394	13016
888	10404	13003
889	10427	13005
890	10439	12994
891	10448	12979
892	10456	12962
893	10467	12949
894	10479	12937
895	10488	12922
896	10512	12926
897	10519	12909
898	10532	12898
899	10542	12885
900	10552	12871
901	10569	12866
902	10578	12850
903	10592	12841
904	10617	12846
905	10629	12835
906	10643	12826
907	10653	12812
908	10661	12795
909	10669	12780
910	10678	12764
911	10689	12751
912	10695	12734
913	10706	12721
914	10714	12704
915	10737	12706
916	10747	12692
917	10755	12676
918	10762	12659
919	10774	12648
920	10792	12644
921	10801	12629
922	10811	12614
923	10819	12599
924	10831	12588
925	10842	12575
926	10855	12565
927	10866	12552
928	10872	12534
929	10880	12518
930	10888	12502
931	10896	12486
932	10908	12474
933	10922	12466
934	10931	12451
935	10938	12434
936	10949	12421
937	10988	12440
938	11003	12433
939	11011	12417
940	11029	12412
941	11040	12400
942	11051	12387
943	11060	12372
944	11072	12361
945	11095	12361
946	11104	12347
947	11142	12365
948	11165	12365
949	11174	12351
950	11188	12341
951	11206	12336
952	11216	12323
953	11227	12310
954	11239	12298
955	11251	12287
956	11259	12271
957	11270	12258
958	11277	12242
959	11287	12228
960	11296	12212
961	11306	12199
962	11317	12187
963	11331	12177
964	11345	12168
965	11366	12167
966	11382	12159
967	11393	12146
968	11404	12133
969	11422	12128
970	11439	12122
971	11449	12109
972	11461	12097
973	11471	12083
974	11510	12100
975	11522	12088
976	11533	12076
977	11541	12060
978	11565	12061
979	11580	12052
980	11599	12048
981	11611	12036
982	11621	12023
983	11633	12011
984	11646	12001
985	11660	11991
986	11687	11995
987	11711	11995
988	11724	11984
989	11740	11977
990	11752	11965
991	11763	11952
992	11772	11938
993	11784	11926
994	11797	11915
995	11805	11900
996	11815	11886
997	11825	11873
998	11836	11860
999	11852	11852
1000	11864	11840
1001	11872	11824
1002	11880	11809
1003	11887	11792
1004	11910	11791
1005	11917	11775
1006	11931	11765
1007	11947	11757
1008	11960	11747
1009	11971	11734
1010	11981	11720
1011	11993	11708
1012	12002	11694
1013	12013	11681
1014	12035	11679
1015	12046	11667
1016	12060	11656
1017	12074	11647
1018	12086	11635
1019	12095	11620
1020	12106	11608
1021	12117	11595
1022	12127	11582
1023	12137	11568
1024	12146	11554
1025	12154	11538
1026	12177	11537
1027	12193	11528
1028	12202	11514
1029	12218	11507
1030	12256	11519
1031	12266	11505
1032	12281	11497
1033	12295	11487
1034	12318	11485
1035	12331	11474
1036	12340	11459
1037	12352	11448
1038	12362	11434
1039	12373	11421
1040	12385	11410
1041	12394	11395
1042	12402	11380
1043	12415	11369
1044	12423	11353
1045	12432	11338
1046	12447	11329
1047	12455	11314
1048	12471	11306
1049	12479	11290
1050	12496	11283
1051	12502	11266
1052	12511	11252
1053	12548	11262
1054	12571	11260
1055	12606	11269
1056	12613	11253
1057	12630	11245
1058	12646	11237
1059	12655	11222
1060	12664	11208
1061	12681	11200
1062	12731	11222
1063	12742	11209
1064	12766	11208
1065	12775	11193
1066	12791	11184
1067	12803	11173
1068	12817	11163
1069	12830	11151
1070	12840	11138
1071	12850	11124
